Date,Price,High,Low,Close,Vol
7/23/13,8014.899902,8138,8011.899902,8073.700195,205390000
7/24/13,8120.200195,8199.099609,8095.200195,8192.5,253079800
7/25/13,8198.5,8287.299805,8152.299805,8282.099609,229578800
7/26/13,8307.799805,8395.900391,8303.200195,8353.599609,230054800
7/29/13,8374.599609,8411.799805,8349.099609,8376.099609,168772600
7/30/13,8402.5,8467.400391,8363.299805,8456.5,185393200
7/31/13,8440.700195,8480.099609,8375.900391,8433.400391,191524600
8/1/13,8466.299805,8543.400391,8431.700195,8540.200195,194874800
8/2/13,8564.799805,8578.299805,8489.5,8574,158458500
8/5/13,8585.099609,8617.299805,8549.599609,8560.799805,128491700
8/6/13,8567.200195,8613.099609,8469.900391,8529.5,151413900
8/7/13,8508.099609,8577.700195,8448,8574.099609,158511500
8/8/13,8587.5,8675.5,8581.099609,8671.799805,195763900
8/9/13,8685.299805,8765.700195,8628.200195,8735.5,204533100
8/12/13,8733.5,8770.200195,8692.799805,8717.700195,156533300
8/13/13,8737.599609,8778.799805,8695.5,8758.5,136741700
8/14/13,8763.400391,8789.299805,8706.799805,8789.299805,143327600
8/15/13,8777.099609,8796.700195,8633.900391,8737.599609,138968900
8/16/13,8739.299805,8828.099609,8710.400391,8821.299805,206850900
8/19/13,8807.799805,8818.799805,8641.099609,8657.099609,170388200
8/20/13,8613.200195,8613.200195,8422.599609,8502.400391,214205800
8/21/13,8526.299805,8558,8427,8461.799805,120911500
8/22/13,8485.200195,8671.099609,8476.200195,8629.700195,171806500
8/23/13,8655.400391,8712.400391,8575,8686.799805,128811400
8/26/13,8669.599609,8717,8590.400391,8649.900391,81286900
8/27/13,8596.5,8643.299805,8378.5,8394,208051600
8/28/13,8367.599609,8421.900391,8275.900391,8398.099609,192416400
8/29/13,8433.700195,8458.099609,8354,8432.099609,142640200
8/30/13,8406.200195,8424.299805,8290.5,8290.5,171995200
9/2/13,8370.200195,8476.200195,8369.799805,8429.599609,155566400
9/3/13,8438.5,8513.599609,8331.099609,8445.200195,142579800
9/4/13,8473.299805,8517.900391,8358.599609,8490.299805,159255300
9/5/13,8512.799805,8564.099609,8473,8550,213564800
9/6/13,8534.299805,8678.799805,8524,8655,219660800
9/9/13,8628.900391,8645.200195,8568.700195,8632.5,152835800
9/10/13,8698.099609,8813.900391,8678.299805,8801.599609,273337600
9/11/13,8789.5,8882.599609,8761.400391,8875.200195,255352000
9/12/13,8878.200195,8951.400391,8861.599609,8924.200195,261211500
9/13/13,8901.099609,8951.599609,8863.700195,8941.599609,188249600
9/16/13,9017.5,9056.299805,8960.299805,8999.5,197762200
9/17/13,8992.5,9005.5,8911.700195,8992,177115400
9/18/13,9019.400391,9072.400391,8995.5,9062.5,236025100
9/19/13,9193.099609,9198.700195,9096.099609,9153.700195,297735200
9/20/13,9121.900391,9171.799805,9118.400391,9171.799805,288147700
9/23/13,9163.799805,9187.799805,9057.5,9109.5,186866500
9/24/13,9109.700195,9171.700195,9076.400391,9167.599609,182432800
9/25/13,9154.700195,9249.5,9120.099609,9242.900391,205467800
9/26/13,9253.599609,9285.900391,9176.400391,9272.400391,238809000
9/27/13,9283.099609,9299.099609,9191.599609,9228.400391,237704000
9/30/13,9073.200195,9199.700195,9036.900391,9186.099609,204351100
10/1/13,9177.599609,9346.900391,9173.400391,9341.5,216831300
10/2/13,9315.700195,9378.200195,9272.900391,9350,196877500
10/3/13,9367.599609,9383.400391,9260.400391,9295.700195,162512700
10/4/13,9289,9432.700195,9267.599609,9420.900391,220135600
10/7/13,9380.400391,9389.200195,9321.599609,9381.900391,165528900
10/8/13,9388.200195,9410.799805,9311.299805,9318.900391,226696600
10/9/13,9302.400391,9470.799805,9295.599609,9439,215016900
10/10/13,9499.5,9695.099609,9485.700195,9660.5,313979500
10/11/13,9707.299805,9707.299805,9624.400391,9668.5,204909400
10/14/13,9631.700195,9701,9615.299805,9696,161741800
10/15/13,9733.599609,9805.299805,9699.200195,9805.299805,250630900
10/16/13,9733.099609,9890.700195,9724,9879,269117100
10/17/13,9854.900391,9918.400391,9817.099609,9918,231677900
10/18/13,9946.599609,10002.59961,9915.5,10001.79981,234130300
10/21/13,10019.59961,10063.90039,9966,10037.79981,226982900
10/22/13,10022.29981,10054.90039,9992.900391,10012.90039,207246200
10/23/13,9960.299805,9965.099609,9792.299805,9828.299805,300665900
10/24/13,9808,9915.400391,9808,9915.400391,224518100
10/25/13,9856,9887.5,9772.299805,9815.5,240606900
10/28/13,9840,9864,9675,9736.200195,232987500
10/29/13,9699.700195,9873,9665.599609,9863.900391,256184900
10/30/13,9862.900391,9980.200195,9744.099609,9778.700195,240984100
10/31/13,9754.799805,9909.900391,9739.299805,9907.900391,258118400
11/1/13,9906.599609,9929.099609,9816.5,9838.299805,142497900
11/4/13,9873.900391,9917.299805,9827.299805,9873.799805,162713200
11/5/13,9916,9923.900391,9731.900391,9795.700195,222791600
11/6/13,9804.200195,9887.400391,9781.200195,9837.099609,178254300
11/7/13,9835.700195,10025.90039,9712.599609,9740.400391,359243400
11/8/13,9684.900391,9778.599609,9613.599609,9747.200195,271391600
11/11/13,9757.200195,9819.599609,9670,9789.5,123206600
11/12/13,9780.099609,9824.099609,9684.099609,9707.599609,181544300
11/13/13,9674.700195,9740.799805,9615.200195,9675.200195,199524300
11/14/13,9769.099609,9784.799805,9610.400391,9708.700195,309214000
11/15/13,9716.900391,9749.299805,9650.400391,9695.900391,185947700
11/18/13,9679.599609,9853.599609,9640.700195,9783.099609,200883100
11/19/13,9750.099609,9751.700195,9626.200195,9629.799805,180785400
11/20/13,9615,9636.099609,9507,9559.5,228662800
11/21/13,9502.799805,9614.5,9467,9599.299805,161717200
11/22/13,9622.700195,9701.799805,9588,9677.400391,183663000
11/25/13,9724.5,9753.900391,9656.5,9689.099609,171693700
11/26/13,9692.200195,9743.200195,9659.799805,9714.599609,263269200
11/27/13,9750.200195,9828.099609,9706.5,9808.400391,173646200
11/28/13,9823.099609,9892.900391,9814.200195,9859.799805,155232600
11/29/13,9876,9923.299805,9824.599609,9837.599609,179884800
12/2/13,9838.200195,9852.700195,9715.599609,9745.5,170200800
12/3/13,9743.900391,9743.900391,9605,9605,275215100
12/4/13,9616.599609,9654.099609,9496.599609,9540.5,189023300
12/5/13,9528.099609,9583,9384.700195,9392.099609,242676100
12/6/13,9406.200195,9418.900391,9232.099609,9400.5,247008400
12/9/13,9414.400391,9499,9389.900391,9487.400391,225519400
12/10/13,9469.900391,9556.099609,9418.5,9438.299805,151929600
12/11/13,9453.299805,9493.099609,9355.099609,9358.700195,206933800
12/12/13,9340.5,9370.5,9245.299805,9272.099609,183489400
12/13/13,9262.400391,9361.200195,9242.900391,9272.700195,160213000
12/16/13,9270.299805,9463.799805,9264.700195,9429.5,204900800
12/17/13,9395,9425.299805,9343.400391,9343.400391,156690100
12/18/13,9398.200195,9456.700195,9348.299805,9443.599609,190494400
12/19/13,9537,9657.099609,9535.799805,9617.099609,151936800
12/20/13,9681.799805,9721.900391,9623.400391,9689.900391,396897000
12/23/13,9696.099609,9758.400391,9650.5,9758.400391,185889400
12/24/13,9767.299805,9826.400391,9756.299805,9819.5,85834400
12/27/13,9839.700195,9900.099609,9826.299805,9900.099609,180126900
12/30/13,9919.5,9949.799805,9864.799805,9901.900391,188242900
12/31/13,9910.5,9923.299805,9881.700195,9916.700195,79586800
1/2/14,9923.599609,9952,9758.400391,9760.299805,304375400
1/3/14,9765,9830.099609,9722.5,9798,209216600
1/6/14,9768.400391,9928.700195,9766.400391,9888.5,188619600
1/7/14,9912.5,10188.5,9881.900391,10178.7002,514204600
1/8/14,10190.40039,10282,10117.2002,10253.59961,479865100
1/9/14,10255.7002,10383,10186.29981,10234.2002,389287000
1/10/14,10293.59961,10361.79981,10248.79981,10290.59961,283436900
1/13/14,10336.29981,10396,10298.29981,10365.5,347556400
1/14/14,10274.09961,10382,10223.09961,10382,343749400
1/15/14,10380.79981,10529.79981,10368.40039,10525,381454500
1/16/14,10532.2002,10552.7002,10441.40039,10455.5,331148000
1/17/14,10453.7002,10501.79981,10393.5,10465.7002,288502600
1/20/14,10440,10485.90039,10403.5,10454.09961,183408000
1/21/14,10469.79981,10510.5,10344.2002,10357.40039,239283500
1/22/14,10399.5,10440.5,10241.5,10279.7002,295355400
1/23/14,10254.09961,10350.90039,10215.79981,10241.2002,327843800
1/24/14,10214.7002,10240.79981,9835.5,9868.900391,531982300
1/27/14,9877,9915.900391,9725.700195,9758.400391,380955000
1/28/14,9838.700195,9922.799805,9802.5,9879.099609,298254700
1/29/14,9986.099609,10054.09961,9716.5,9896.200195,368664600
1/30/14,9890.700195,9995.5,9775.700195,9964.5,311979200
1/31/14,9974.400391,9993.200195,9761.799805,9920.200195,343616300
2/3/14,9911.5,9980.099609,9712.5,9725.400391,280156700
2/4/14,9684.700195,9814.200195,9654.799805,9754.299805,306710800
2/5/14,9752.400391,9837.5,9700.400391,9775,267970200
2/6/14,9840.700195,9983.700195,9807.200195,9964.599609,393666100
2/7/14,9996,10086.7002,9910.700195,10072.40039,328602400
2/10/14,10114.2002,10117.79981,9943.799805,9982.700195,232430600
2/11/14,10044.79981,10091.2002,9985,10091.2002,313939600
2/12/14,10126.09961,10151.29981,10041.29981,10080.79981,371607700
