Date,Open,High,Low,Close
9/17/2013,8241.03,8249.78,8218.94,8249.78
9/18/2013,8248.18,8263.05,8209.18,8209.18
9/23/2013,8226.8,8293.03,8221.34,8292.83
9/24/2013,8295.5,8310.94,8265.55,8299.12
9/25/2013,8283.6,8285.28,8253.43,8283.9
9/26/2013,8290.1,8290.1,8184.68,8184.68
9/27/2013,8222.13,8244.86,8207.72,8230.68
9/30/2013,8174.86,8204.4,8137.11,8173.87
10/1/2013,8173.99,8222.38,8172.79,8187.02
10/2/2013,8215.96,8228.81,8204.34,8216.52
10/3/2013,8231.68,8376.79,8231.68,8359.02
10/4/2013,8345.82,8376.06,8336.61,8364.55
10/7/2013,8354.91,8361.5,8323.79,8333.66
10/8/2013,8340.33,8375.65,8311.59,8375.65
10/9/2013,8352.25,8378.37,8330.79,8344.73
10/11/2013,8407.45,8433.53,8349.37,8349.37
10/14/2013,8339.99,8343.65,8269.16,8273.96
10/15/2013,8320.48,8368.02,8320.48,8367.88
10/16/2013,8384.03,8384.03,8332.18,8332.18
10/17/2013,8390.88,8415.16,8364.89,8374.68
10/18/2013,8416.33,8441.19,8390.32,8441.19
10/21/2013,8456.68,8459.3,8400.06,8419.32
10/22/2013,8407.62,8425.31,8376.27,8418.27
10/23/2013,8419.8,8438.95,8380.15,8393.62
10/24/2013,8364.45,8413.72,8346.52,8413.72
10/25/2013,8380.31,8390.25,8322.15,8346.62
10/28/2013,8365.43,8414.81,8348.42,8407.83
10/29/2013,8394.85,8432.9,8380.21,8420.98
10/30/2013,8429.4,8465.06,8419.21,8465.06
10/31/2013,8437.76,8469.58,8424.47,8450.06
11/1/2013,8474.47,8476.63,8378.94,8388.18
11/4/2013,8371.83,8371.83,8333.63,8354.14
11/5/2013,8354.92,8372.8,8262.2,8262.2
11/6/2013,8275.07,8297.57,8232.5,8281.97
11/7/2013,8298.06,8298.06,8250.72,8283.71
11/8/2013,8235.3,8266.72,8216.33,8229.59
11/11/2013,8228.9,8242.41,8168.92,8182.56
11/12/2013,8233.62,8233.62,8160.17,8195.26
11/13/2013,8199.26,8199.26,8104.26,8104.26
11/14/2013,8137.82,8161.7,8100.73,8134.91
11/15/2013,8168.9,8210.1,8160.28,8177.12
11/18/2013,8201.85,8226.61,8186.47,8191.46
11/19/2013,8215,8260.82,8215,8260.21
11/20/2013,8250.31,8262.91,8204.46,8204.46
11/21/2013,8197.86,8203.45,8093.82,8099.45
11/22/2013,8107.98,8142.72,8107.98,8116.78
11/25/2013,8182.9,8217.62,8182.9,8187.51
11/26/2013,8200.7,8281.38,8187.28,8248.02
11/27/2013,8287.63,8312.32,8279.51,8295.88
11/28/2013,8320.65,8377.81,8320.65,8362.43
11/29/2013,8374.14,8414.79,8365.32,8406.83
12/2/2013,8429.24,8437.13,8391.82,8414.61
12/3/2013,8407.74,8418.23,8390.73,8392.55
12/4/2013,8379.44,8435.23,8375.79,8418
12/5/2013,8430.53,8437.6,8362.39,8375.54
12/6/2013,8372.61,8410.19,8361.99,8367.72
12/9/2013,8439.76,8477.87,8433.81,8444.62
12/10/2013,8451.81,8459.49,8421.59,8443.39
12/11/2013,8450.96,8501.77,8413.52,8433.77
12/12/2013,8405.62,8406.93,8361.33,8361.33
12/13/2013,8355.01,8391.82,8346.83,8376.94
12/16/2013,8368.83,8374.21,8313.87,8313.87
12/17/2013,8351.98,8384.26,8351.98,8352.93
12/18/2013,8361.75,8375.52,8333.31,8349.04
12/19/2013,8400.39,8426.08,8378.78,8407.4
12/20/2013,8400.21,8439.37,8392.38,8408.53
12/23/2013,8441.16,8477.47,8441.16,8456.46
12/24/2013,8473.02,8478.09,8450.49,8450.49
12/25/2013,8461.49,8484.05,8457.87,8467.76
12/26/2013,8467.73,8492.71,8465.85,8485.89
12/27/2013,8490.73,8543.5,8488.44,8535.04
12/30/2013,8552.13,8623.43,8552.13,8623.43
12/31/2013,8636.5,8647.24,8593.75,8611.51
1/2/2014,8618.6,8632.81,8587.54,8612.54
1/3/2014,8584.74,8584.74,8537.86,8546.54
1/6/2014,8553,8568.24,8488.64,8500.01
1/7/2014,8515.36,8547.19,8512.3,8512.3
1/8/2014,8548.61,8587.08,8548.61,8556.01
1/9/2014,8555.8,8569.11,8506.02,8514.68
1/10/2014,8559.18,8559.18,8521.5,8529.35
1/13/2014,8587.49,8607.23,8558.96,8566.2
1/14/2014,8545.46,8568.31,8523.46,8548.14
1/15/2014,8567.81,8619.56,8567.81,8602.55
1/16/2014,8653.54,8668.95,8610.24,8612.11
1/17/2014,8628.49,8628.86,8580.49,8596
1/20/2014,8595.59,8636.21,8584.5,8621.56
1/21/2014,8639.71,8650.14,8599.9,8599.9
1/22/2014,8598.98,8633.57,8596.99,8625.3
